REGWLD,GDPS,SCEN,Value,,,,,
MAR,NomGDPvalch,GPESSRRnD20,232.40625,,,,,
MDG,NomGDPvalch,GPESSRRnD20,12.84960938,,,,,
MEAS_NAfr,NomGDPvalch,GPESSRRnD20,16147.5,,,,,
MEX,NomGDPvalch,GPESSRRnD20,3501,,,,,
MYS,NomGDPvalch,GPESSRRnD20,1005.9375,,,,,
NGA,NomGDPvalch,GPESSRRnD20,-5432,,,,,
Oceania,NomGDPvalch,GPESSRRnD20,4601,,,,,
Oth_CEE_CIS,NomGDPvalch,GPESSRRnD20,1558.125,,,,,
Oth_Europe,NomGDPvalch,GPESSRRnD20,3782.875,,,,,
PAK,NomGDPvalch,GPESSRRnD20,630.546875,,,,,
PHL,NomGDPvalch,GPESSRRnD20,879.6875,,,,,
POL,NomGDPvalch,GPESSRRnD20,1670.125,,,,,
R_S_Asia,NomGDPvalch,GPESSRRnD20,429.859375,,,,,
R_SE_Asia,NomGDPvalch,GPESSRRnD20,1506.375,,,,,
Russia,NomGDPvalch,GPESSRRnD20,13868.5,,,,,
S_o_Amer,NomGDPvalch,GPESSRRnD20,2669.375,,,,,
S_S_AFR,NomGDPvalch,GPESSRRnD20,4007.5,,,,,
TUR,NomGDPvalch,GPESSRRnD20,56.375,,,,,
USA,NomGDPvalch,GPESSRRnD20,4480,,,,,
VNM,NomGDPvalch,GPESSRRnD20,938.5,,,,,
XAC,NomGDPvalch,GPESSRRnD20,5271,,,,,
ZAF,NomGDPvalch,GPESSRRnD20,335.34375,,,,,
World,NomGDPvalch,GPESSRRnD20,138011.0156,,,,,
ARG,GDPpct,BAU_aESRigid,8.27E-03,,,,,
BGD,GDPpct,BAU_aESRigid,-2.157612085,,,,,
BRAZIL,GDPpct,BAU_aESRigid,-0.046750158,,,,,
C_C_Amer,GDPpct,BAU_aESRigid,-0.187947437,,,,,
CAN,GDPpct,BAU_aESRigid,6.21E-03,,,,,
CHIHKG,GDPpct,BAU_aESRigid,-0.302614212,,,,,
COL,GDPpct,BAU_aESRigid,0.054356936,,,,,
E_Asia,GDPpct,BAU_aESRigid,0.012046795,,,,,
EGY,GDPpct,BAU_aESRigid,-0.564891994,,,,,
ETH,GDPpct,BAU_aESRigid,-0.329917759,,,,,
EU27,GDPpct,BAU_aESRigid,-3.98E-03,,,,,
IDN,GDPpct,BAU_aESRigid,-0.338567585,,,,,
INDIA,GDPpct,BAU_aESRigid,-0.193378955,,,,,
JAPAN,GDPpct,BAU_aESRigid,-0.042910956,,,,,
KOR,GDPpct,BAU_aESRigid,-0.12638171,,,,,
MAR,GDPpct,BAU_aESRigid,0.237485334,,,,,
MDG,GDPpct,BAU_aESRigid,-1.067781329,,,,,
MEAS_NAfr,GDPpct,BAU_aESRigid,0.085310109,,,,,
MEX,GDPpct,BAU_aESRigid,2.24E-03,,,,,
MYS,GDPpct,BAU_aESRigid,-0.38122946,,,,,
NGA,GDPpct,BAU_aESRigid,-0.077913038,,,,,
Oceania,GDPpct,BAU_aESRigid,0.092291273,,,,,
Oth_CEE_CIS,GDPpct,BAU_aESRigid,-0.014887488,,,,,
Oth_Europe,GDPpct,BAU_aESRigid,-0.064942375,,,,,
PAK,GDPpct,BAU_aESRigid,0.174432576,,,,,
PHL,GDPpct,BAU_aESRigid,0.255368859,,,,,
POL,GDPpct,BAU_aESRigid,-0.096668452,,,,,
R_S_Asia,GDPpct,BAU_aESRigid,-0.530579925,,,,,
R_SE_Asia,GDPpct,BAU_aESRigid,-0.172428727,,,,,
Russia,GDPpct,BAU_aESRigid,0.062684163,,,,,
S_o_Amer,GDPpct,BAU_aESRigid,-0.064026728,,,,,
S_S_AFR,GDPpct,BAU_aESRigid,0.039457217,,,,,
TUR,GDPpct,BAU_aESRigid,-0.079230353,,,,,
USA,GDPpct,BAU_aESRigid,-8.48E-03,,,,,
VNM,GDPpct,BAU_aESRigid,-0.09204223,,,,,
XAC,GDPpct,BAU_aESRigid,1.230870962,,,,,
ZAF,GDPpct,BAU_aESRigid,-0.01687601,,,,,
World,GDPpct,BAU_aESRigid,-0.075411864,,,,,
ARG,RealGDPvalch,BAU_aESRigid,55.39983749,,,,,
BGD,RealGDPvalch,BAU_aESRigid,-6263.571777,,,,,
BRAZIL,RealGDPvalch,BAU_aESRigid,-1480.557739,,,,,
C_C_Amer,RealGDPvalch,BAU_aESRigid,-1379.721802,,,,,
CAN,RealGDPvalch,BAU_aESRigid,161.4230957,,,,,
CHIHKG,RealGDPvalch,BAU_aESRigid,-57590.10938,,,,,
COL,RealGDPvalch,BAU_aESRigid,303.2727661,,,,,
E_Asia,RealGDPvalch,BAU_aESRigid,19.86248207,,,,,
EGY,RealGDPvalch,BAU_aESRigid,-3082.670166,,,,,
ETH,RealGDPvalch,BAU_aESRigid,-318.5664368,,,,,
EU27,RealGDPvalch,BAU_aESRigid,-778.668335,,,,,
IDN,RealGDPvalch,BAU_aESRigid,-3941.983398,,,,,
INDIA,RealGDPvalch,BAU_aESRigid,-5526.184082,,,,,
JAPAN,RealGDPvalch,BAU_aESRigid,-1897.144409,,,,,
KOR,RealGDPvalch,BAU_aESRigid,-2203.844238,,,,,
MAR,RealGDPvalch,BAU_aESRigid,351.1328125,,,,,
MDG,RealGDPvalch,BAU_aESRigid,-198.6408844,,,,,
MEAS_NAfr,RealGDPvalch,BAU_aESRigid,3988.084717,,,,,
MEX,RealGDPvalch,BAU_aESRigid,36.6056366,,,,,
MYS,RealGDPvalch,BAU_aESRigid,-1860.791748,,,,,
NGA,RealGDPvalch,BAU_aESRigid,-1201.359619,,,,,
Oceania,RealGDPvalch,BAU_aESRigid,2719.998779,,,,,
Oth_CEE_CIS,RealGDPvalch,BAU_aESRigid,-217.8933716,,,,,
Oth_Europe,RealGDPvalch,BAU_aESRigid,-1007.743225,,,,,
PAK,RealGDPvalch,BAU_aESRigid,451.1101074,,,,,
PHL,RealGDPvalch,BAU_aESRigid,1261.577393,,,,,
POL,RealGDPvalch,BAU_aESRigid,-724.9813232,,,,,
R_S_Asia,RealGDPvalch,BAU_aESRigid,-991.0960083,,,,,
R_SE_Asia,RealGDPvalch,BAU_aESRigid,-1684.954102,,,,,
Russia,RealGDPvalch,BAU_aESRigid,2261.927979,,,,,
S_o_Amer,RealGDPvalch,BAU_aESRigid,-1103.083618,,,,,
S_S_AFR,RealGDPvalch,BAU_aESRigid,450.3258972,,,,,
TUR,RealGDPvalch,BAU_aESRigid,-899.1259766,,,,,
USA,RealGDPvalch,BAU_aESRigid,-1737.168945,,,,,
VNM,RealGDPvalch,BAU_aESRigid,-301.5571899,,,,,
XAC,RealGDPvalch,BAU_aESRigid,5896.958984,,,,,
ZAF,RealGDPvalch,BAU_aESRigid,-80.43305206,,,,,
World,RealGDPvalch,BAU_aESRigid,-78514.17188,,,,,
ARG,NomGDPvalch,BAU_aESRigid,-1829.375,,,,,
BGD,NomGDPvalch,BAU_aESRigid,14135.6875,,,,,
BRAZIL,NomGDPvalch,BAU_aESRigid,263.5,,,,,
C_C_Amer,NomGDPvalch,BAU_aESRigid,-5197.4375,,,,,
CAN,NomGDPvalch,BAU_aESRigid,18294,,,,,
CHIHKG,NomGDPvalch,BAU_aESRigid,-105066,,,,,
COL,NomGDPvalch,BAU_aESRigid,7853.6875,,,,,
E_Asia,NomGDPvalch,BAU_aESRigid,530.234375,,,,,
EGY,NomGDPvalch,BAU_aESRigid,-1517.125,,,,,
ETH,NomGDPvalch,BAU_aESRigid,2590.203125,,,,,
EU27,NomGDPvalch,BAU_aESRigid,-48802,,,,,
IDN,NomGDPvalch,BAU_aESRigid,-7901.625,,,,,
INDIA,NomGDPvalch,BAU_aESRigid,-47926.75,,,,,
JAPAN,NomGDPvalch,BAU_aESRigid,-35198.5,,,,,
KOR,NomGDPvalch,BAU_aESRigid,-19921.5,,,,,
MAR,NomGDPvalch,BAU_aESRigid,-753.1875,,,,,
MDG,NomGDPvalch,BAU_aESRigid,180.7011719,,,,,
MEAS_NAfr,NomGDPvalch,BAU_aESRigid,91742.5,,,,,
MEX,NomGDPvalch,BAU_aESRigid,3643.875,,,,,
MYS,NomGDPvalch,BAU_aESRigid,1162.65625,,,,,
NGA,NomGDPvalch,BAU_aESRigid,30927.625,,,,,
Oceania,NomGDPvalch,BAU_aESRigid,53167.25,,,,,
Oth_CEE_CIS,NomGDPvalch,BAU_aESRigid,8656.5,,,,,
Oth_Europe,NomGDPvalch,BAU_aESRigid,9278.875,,,,,
PAK,NomGDPvalch,BAU_aESRigid,-934.703125,,,,,
PHL,NomGDPvalch,BAU_aESRigid,-1015.46875,,,,,
POL,NomGDPvalch,BAU_aESRigid,-3580.25,,,,,
R_S_Asia,NomGDPvalch,BAU_aESRigid,-140.859375,,,,,
R_SE_Asia,NomGDPvalch,BAU_aESRigid,-8997.5,,,,,
Russia,NomGDPvalch,BAU_aESRigid,67176,,,,,
S_o_Amer,NomGDPvalch,BAU_aESRigid,12574.75,,,,,
S_S_AFR,NomGDPvalch,BAU_aESRigid,10329.5,,,,,
TUR,NomGDPvalch,BAU_aESRigid,-7577.75,,,,,
USA,NomGDPvalch,BAU_aESRigid,-22408,,,,,
VNM,NomGDPvalch,BAU_aESRigid,2044.875,,,,,
XAC,NomGDPvalch,BAU_aESRigid,18126.28125,,,,,
ZAF,NomGDPvalch,BAU_aESRigid,444.875,,,,,
World,NomGDPvalch,BAU_aESRigid,34355.54688,,,,,
ARG,GDPpct,BAU_aECOLLPS,-2.451507568,,,,,
BGD,GDPpct,BAU_aECOLLPS,-15.43713093,,,,,
BRAZIL,GDPpct,BAU_aECOLLPS,-3.673572779,,,,,
C_C_Amer,GDPpct,BAU_aECOLLPS,-2.525111437,,,,,
CAN,GDPpct,BAU_aECOLLPS,-0.619508863,,,,,
CHIHKG,GDPpct,BAU_aECOLLPS,-3.142238855,,,,,
COL,GDPpct,BAU_aECOLLPS,-1.843600869,,,,,
E_Asia,GDPpct,BAU_aECOLLPS,-0.215844274,,,,,
EGY,GDPpct,BAU_aECOLLPS,-4.161851883,,,,,
ETH,GDPpct,BAU_aECOLLPS,-12.3955307,,,,,
EU27,GDPpct,BAU_aECOLLPS,-0.355380088,,,,,
IDN,GDPpct,BAU_aECOLLPS,-6.828172207,,,,,
INDIA,GDPpct,BAU_aECOLLPS,-3.934057713,,,,,
JAPAN,GDPpct,BAU_aECOLLPS,-0.629923999,,,,,
KOR,GDPpct,BAU_aECOLLPS,-1.214677334,,,,,
MAR,GDPpct,BAU_aECOLLPS,-2.614040136,,,,,
MDG,GDPpct,BAU_aECOLLPS,-157.3268738,,,,,
MEAS_NAfr,GDPpct,BAU_aECOLLPS,-1.19013536,,,,,
MEX,GDPpct,BAU_aECOLLPS,-0.853403807,,,,,
MYS,GDPpct,BAU_aECOLLPS,-4.217761993,,,,,
NGA,GDPpct,BAU_aECOLLPS,-8.542086601,,,,,
Oceania,GDPpct,BAU_aECOLLPS,-0.576810062,,,,,
Oth_CEE_CIS,GDPpct,BAU_aECOLLPS,-1.967498422,,,,,
Oth_Europe,GDPpct,BAU_aECOLLPS,-1.076164365,,,,,
PAK,GDPpct,BAU_aECOLLPS,-13.81393147,,,,,
PHL,GDPpct,BAU_aECOLLPS,-7.94115448,,,,,
POL,GDPpct,BAU_aECOLLPS,-0.742361724,,,,,
R_S_Asia,GDPpct,BAU_aECOLLPS,-5.10244751,,,,,
R_SE_Asia,GDPpct,BAU_aECOLLPS,-3.481755257,,,,,
Russia,GDPpct,BAU_aECOLLPS,-0.416491032,,,,,
S_o_Amer,GDPpct,BAU_aECOLLPS,-3.37920332,,,,,
S_S_AFR,GDPpct,BAU_aECOLLPS,-9.289114952,,,,,
TUR,GDPpct,BAU_aECOLLPS,-2.061730146,,,,,
USA,GDPpct,BAU_aECOLLPS,-0.433859468,,,,,
VNM,GDPpct,BAU_aECOLLPS,-8.662712097,,,,,
XAC,GDPpct,BAU_aECOLLPS,-19.46546364,,,,,
ZAF,GDPpct,BAU_aECOLLPS,-0.261970639,,,,,
World,GDPpct,BAU_aECOLLPS,-1.942115784,,,,,
ARG,RealGDPvalch,BAU_aECOLLPS,-16426.98828,,,,,
BGD,RealGDPvalch,BAU_aECOLLPS,-44814.16016,,,,,
BRAZIL,RealGDPvalch,BAU_aECOLLPS,-116340.5,,,,,
C_C_Amer,RealGDPvalch,BAU_aECOLLPS,-18536.83789,,,,,
CAN,RealGDPvalch,BAU_aECOLLPS,-16115.24414,,,,,
CHIHKG,RealGDPvalch,BAU_aECOLLPS,-597995.3125,,,,,
COL,RealGDPvalch,BAU_aECOLLPS,-10285.97168,,,,,
E_Asia,RealGDPvalch,BAU_aECOLLPS,-355.8791504,,,,,
EGY,RealGDPvalch,BAU_aECOLLPS,-22711.62891,,,,,
ETH,RealGDPvalch,BAU_aECOLLPS,-11969.04297,,,,,
EU27,RealGDPvalch,BAU_aECOLLPS,-69508.84375,,,,,
IDN,RealGDPvalch,BAU_aECOLLPS,-79501.24219,,,,,
INDIA,RealGDPvalch,BAU_aECOLLPS,-112423.4453,,,,,
JAPAN,RealGDPvalch,BAU_aECOLLPS,-27849.68945,,,,,
KOR,RealGDPvalch,BAU_aECOLLPS,-21181.54492,,,,,
MAR,RealGDPvalch,BAU_aECOLLPS,-3864.976807,,,,,
MDG,RealGDPvalch,BAU_aECOLLPS,-29267.74414,,,,,
MEAS_NAfr,RealGDPvalch,BAU_aECOLLPS,-55636.55469,,,,,
MEX,RealGDPvalch,BAU_aECOLLPS,-13919.74023,,,,,
MYS,RealGDPvalch,BAU_aECOLLPS,-20587.01563,,,,,
NGA,RealGDPvalch,BAU_aECOLLPS,-131712.4688,,,,,
Oceania,RealGDPvalch,BAU_aECOLLPS,-16999.68555,,,,,
Oth_CEE_CIS,RealGDPvalch,BAU_aECOLLPS,-28796.32031,,,,,
Oth_Europe,RealGDPvalch,BAU_aECOLLPS,-16699.37891,,,,,
PAK,RealGDPvalch,BAU_aECOLLPS,-35725,,,,,
PHL,RealGDPvalch,BAU_aECOLLPS,-39231.01953,,,,,
POL,RealGDPvalch,BAU_aECOLLPS,-5567.466797,,,,,
R_S_Asia,RealGDPvalch,BAU_aECOLLPS,-9531.109375,,,,,
R_SE_Asia,RealGDPvalch,BAU_aECOLLPS,-34023.32031,,,,,
Russia,RealGDPvalch,BAU_aECOLLPS,-15028.87988,,,,,
S_o_Amer,RealGDPvalch,BAU_aECOLLPS,-58218.55859,,,,,
S_S_AFR,RealGDPvalch,BAU_aECOLLPS,-106016.8281,,,,,
TUR,RealGDPvalch,BAU_aECOLLPS,-23397.03125,,,,,
USA,RealGDPvalch,BAU_aECOLLPS,-88884.53906,,,,,
VNM,RealGDPvalch,BAU_aECOLLPS,-28381.57031,,,,,
XAC,RealGDPvalch,BAU_aECOLLPS,-93256.76563,,,,,
ZAF,RealGDPvalch,BAU_aECOLLPS,-1248.582886,,,,,
World,RealGDPvalch,BAU_aECOLLPS,-2022010.875,,,,,
ARG,NomGDPvalch,BAU_aECOLLPS,23376.875,,,,,
BGD,NomGDPvalch,BAU_aECOLLPS,28973.8125,,,,,
BRAZIL,NomGDPvalch,BAU_aECOLLPS,-158955.5,,,,,
C_C_Amer,NomGDPvalch,BAU_aECOLLPS,1945.25,,,,,
CAN,NomGDPvalch,BAU_aECOLLPS,42149.25,,,,,
CHIHKG,NomGDPvalch,BAU_aECOLLPS,-794456,,,,,
COL,NomGDPvalch,BAU_aECOLLPS,-8367.5,,,,,
E_Asia,NomGDPvalch,BAU_aECOLLPS,-3760.59375,,,,,
EGY,NomGDPvalch,BAU_aECOLLPS,-10196.375,,,,,
ETH,NomGDPvalch,BAU_aECOLLPS,54342.95313,,,,,
EU27,NomGDPvalch,BAU_aECOLLPS,-236070,,,,,
IDN,NomGDPvalch,BAU_aECOLLPS,-157796.25,,,,,
INDIA,NomGDPvalch,BAU_aECOLLPS,12499.75,,,,,
JAPAN,NomGDPvalch,BAU_aECOLLPS,-157816,,,,,
KOR,NomGDPvalch,BAU_aECOLLPS,-60691.625,,,,,
MAR,NomGDPvalch,BAU_aECOLLPS,9818.5625,,,,,
MDG,NomGDPvalch,BAU_aECOLLPS,368050.5625,,,,,
MEAS_NAfr,NomGDPvalch,BAU_aECOLLPS,94791.5,,,,,
MEX,NomGDPvalch,BAU_aECOLLPS,-11381.625,,,,,
MYS,NomGDPvalch,BAU_aECOLLPS,-36612.3125,,,,,
NGA,NomGDPvalch,BAU_aECOLLPS,-15632.25,,,,,
Oceania,NomGDPvalch,BAU_aECOLLPS,121191.75,,,,,
Oth_CEE_CIS,NomGDPvalch,BAU_aECOLLPS,66017.5,,,,,
Oth_Europe,NomGDPvalch,BAU_aECOLLPS,-17620,,,,,
PAK,NomGDPvalch,BAU_aECOLLPS,-36130.34375,,,,,
PHL,NomGDPvalch,BAU_aECOLLPS,-15160.59375,,,,,
POL,NomGDPvalch,BAU_aECOLLPS,-11306,,,,,
R_S_Asia,NomGDPvalch,BAU_aECOLLPS,3211.671875,,,,,
R_SE_Asia,NomGDPvalch,BAU_aECOLLPS,-46180.0625,,,,,
Russia,NomGDPvalch,BAU_aECOLLPS,65750,,,,,
S_o_Amer,NomGDPvalch,BAU_aECOLLPS,-56543.375,,,,,
S_S_AFR,NomGDPvalch,BAU_aECOLLPS,-3239.5,,,,,
TUR,NomGDPvalch,BAU_aECOLLPS,-31797,,,,,
USA,NomGDPvalch,BAU_aECOLLPS,-115104,,,,,
VNM,NomGDPvalch,BAU_aECOLLPS,-28621.5,,,,,
XAC,NomGDPvalch,BAU_aECOLLPS,140651.75,,,,,
ZAF,NomGDPvalch,BAU_aECOLLPS,19183.59375,,,,,
World,NomGDPvalch,BAU_aECOLLPS,-961483.625,,,,,
