"iso2","country","actual","est_baseline","est_BAU","est_lower_BAU","est_upper_BAU","est_TP","est_lower_TP","est_upper_TP","loss_BAU","loss_TP","baseline_PD","TP_PD","BAU_PD","deltaPD_TP","deltaPD_BAU"
"NG","Nigeria",6,6.543775,6.435575,5.77416348030684,7.09698651969316,6.19031666666667,5.76433096926985,6.61630236406348,-0.077327623963,-8.5420866013,9.19861436132801,10.0984214540228,9.44804711752421,0.899807092694749,0.249432756196205
"PK","Pakistan",5,5.04156666666667,5.22030833333333,4.55825063805963,5.88236602860704,4.74978333333333,4.28843483652041,5.21113183014626,0.19437851012,-13.813931465,15.2562911480339,17.3038730379863,14.1725433554717,2.04758188995239,-1.08374779256224
"PL","Poland",14,13.9683583333333,13.9281666666667,13.2667682729663,14.589565060367,14.0949916666667,13.6677686962512,14.5222146370822,-0.086878977716,-0.74236172438,3.03512954546426,2.91982137649011,3.07233602209015,-0.115308168974146,0.037206476625895
"RU","Russia",11,11.6181583333333,11.6713333333333,10.9781724195185,12.3644942471482,11.6708916666667,11.0938904845231,12.2478928488103,0.060096152127,-0.41649103165,5.32750882007174,5.2809840798235,5.28059215381396,-0.0465247402482474,-0.04691666625778
"TR","Turkey",7,7.61101666666667,7.573575,6.7702230260605,8.3769269739395,6.406725,5.26538407997386,7.54806592002614,-0.07238534838,-2.0617301464,7.64522815930961,9.51825891800555,7.67883596542935,1.87303075869593,0.0336078061197345
"US","United States",19,18.6502583333333,18.2825833333333,17.6110952168603,18.9540714498064,18.2471,17.7879391910002,18.7062608089998,-0.00707269972190261,-0.43385946751,1.18078066004825,1.31854623392137,1.30970632310336,0.137765573873122,0.128925663055103
"VN","Vietnam",9,8.52524166666667,8.066525,7.39581281439727,8.73723718560273,6.10125,5.67408948829549,6.52841051170451,-0.091372549534,-8.6627120972,7.07441048456925,10.3665163988727,7.31189377995174,3.29210591430343,0.237483295382487
"AO","Angola",5,5.70073333333333,6.26910833333333,5.28203540680889,7.25618125985777,3.92876666666667,3.50084711996027,4.35668621337306,1.2638400793,-19.465463638,11.8140649480625,25.3058045830371,9.87589177743686,13.4917396349746,-1.93817317062566
"ZA","South Africa",9,8.33541666666667,7.999825,7.33444574070495,8.66520425929505,7.86400833333333,7.42334936756992,8.30466729909675,-0.016935775056,-0.26197063923,7.16434004389303,7.4445862155651,7.35324392877702,0.280246171672072,0.188903884883993
"CD","Democratic Republic of the Congo",4,4.67668333333333,4.80174166666667,4.13014563494229,5.47333769839104,3.4444,2.95568126286659,3.93311873713341,1.2638400793,-19.465463638,17.875476874482,31.9481550213803,16.912368639039,14.0726781468983,-0.963108235443006
